epoch,step,test_accuracy,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,0,,0.0,,9.586794840759925e+34,
1,1,,0.0,,9.586794840759925e+34,
2,2,,0.0,,9.586794840759925e+34,
3,3,,0.0,,9.586794840759925e+34,
4,4,,0.0,,9.586794840759925e+34,
5,5,,0.0,,9.586794840759925e+34,
6,6,,0.0,,9.586794840759925e+34,
7,7,,0.0,,9.586794840759925e+34,
8,8,,0.0,,9.586794840759925e+34,
9,9,,,0.0,,9.586794840759925e+34
9,9,,0.0,,9.586794840759925e+34,
10,10,,0.0,,9.586794840759925e+34,
11,11,0.0,,,,
