epoch,step,test_accuracy,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,0,,,0.4000000059604645,,1.1456760168075562
0,1,,,0.5,,1.034706711769104
0,2,,,0.30000001192092896,,1.1044418811798096
0,3,,,0.4000000059604645,,1.105534315109253
0,4,,,0.20000000298023224,,1.1605629920959473
0,5,,,0.4000000059604645,,1.092270851135254
0,6,,,0.4000000059604645,,1.0890629291534424
0,7,,,0.30000001192092896,,1.0992820262908936
0,8,,,0.3499999940395355,,1.1254119873046875
0,9,,,0.5,,1.0688488483428955
0,10,,,0.4000000059604645,,1.100900411605835
0,11,,,0.25,,1.126765489578247
0,12,,,0.550000011920929,,1.0539672374725342
0,13,,,0.20000000298023224,,1.1039355993270874
0,14,,,0.4000000059604645,,1.0665667057037354
0,15,,,0.15000000596046448,,1.1904834508895874
0,16,,,0.30000001192092896,,1.1008810997009277
0,17,,,0.20000000298023224,,1.1513534784317017
0,18,,,0.5,,1.0513384342193604
0,19,,,0.4000000059604645,,1.1314055919647217
0,20,,,0.25,,1.0993000268936157
0,21,,,0.20000000298023224,,1.1925735473632812
0,22,,,0.30000001192092896,,1.1170108318328857
0,23,,,0.30000001192092896,,1.1010174751281738
0,24,,,0.3499999940395355,,1.0868911743164062
0,25,,,0.6000000238418579,,1.0288918018341064
0,26,,,0.30000001192092896,,1.1480858325958252
0,27,,,0.44999998807907104,,1.110138177871704
0,28,,,0.3499999940395355,,1.0900877714157104
0,29,,,0.3499999940395355,,1.1069562435150146
0,30,,,0.20000000298023224,,1.1328496932983398
0,31,,,0.30000001192092896,,1.1219698190689087
0,32,,,0.4000000059604645,,1.09947669506073
0,33,,,0.4000000059604645,,1.1038700342178345
0,34,,,0.25,,1.1320499181747437
0,35,,,0.15000000596046448,,1.1875938177108765
0,36,,,0.25,,1.1112884283065796
0,37,,,0.4000000059604645,,1.1135571002960205
0,38,,,0.4000000059604645,,1.0715142488479614
0,39,,,0.30000001192092896,,1.1501390933990479
0,39,,0.3400000035762787,,1.1102162599563599,
1,40,,,0.15000000596046448,,1.1437733173370361
1,41,,,0.5,,1.0804146528244019
1,42,,,0.20000000298023224,,1.1073529720306396
1,43,,,0.15000000596046448,,1.1719553470611572
1,44,,,0.5,,1.0749030113220215
1,45,,,0.25,,1.1397618055343628
1,46,,,0.4000000059604645,,1.0807381868362427
1,47,,,0.25,,1.0999032258987427
1,48,,,0.3499999940395355,,1.0940040349960327
1,49,,,0.25,,1.135604977607727
1,50,,,0.30000001192092896,,1.1387503147125244
1,51,,,0.20000000298023224,,1.1096363067626953
1,52,,,0.30000001192092896,,1.1222283840179443
1,53,,,0.3499999940395355,,1.128082036972046
1,54,,,0.3499999940395355,,1.1067841053009033
1,55,,,0.25,,1.1413488388061523
