epoch,step,test_accuracy,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,0,,,0.44999998807907104,,1.0838834047317505
0,1,,,0.550000011920929,,1.0203580856323242
0,2,,,0.25,,1.1413030624389648
0,3,,,0.550000011920929,,1.081493616104126
0,4,,,0.30000001192092896,,1.1391037702560425
0,5,,,0.10000000149011612,,1.1495028734207153
0,6,,,0.10000000149011612,,1.1496403217315674
0,7,,,0.4000000059604645,,1.0865665674209595
0,8,,,0.30000001192092896,,1.101054310798645
0,9,,,0.3499999940395355,,1.1097538471221924
0,10,,,0.25,,1.1158959865570068
0,11,,,0.550000011920929,,1.0834687948226929
0,12,,,0.4000000059604645,,1.1106590032577515
0,13,,,0.4000000059604645,,1.0920568704605103
0,14,,,0.30000001192092896,,1.1078318357467651
0,15,,,0.30000001192092896,,1.1107760667800903
0,16,,,0.3499999940395355,,1.1015713214874268
0,17,,,0.30000001192092896,,1.1089818477630615
0,18,,,0.30000001192092896,,1.1079814434051514
0,19,,,0.3499999940395355,,1.0978498458862305
0,20,,,0.3499999940395355,,1.0935778617858887
0,21,,,0.25,,1.1200478076934814
0,22,,,0.3499999940395355,,1.0895415544509888
0,23,,,0.75,,1.0326039791107178
0,24,,,0.5,,0.9755670428276062
0,25,,,0.5,,0.9138097763061523
0,26,,,0.44999998807907104,,1.0187479257583618
0,27,,,0.5,,1.0599294900894165
0,28,,,0.4000000059604645,,1.0736335515975952
0,29,,,0.25,,1.1087465286254883
0,30,,,0.4000000059604645,,1.0809491872787476
0,31,,,0.4000000059604645,,1.0812413692474365
0,32,,,0.30000001192092896,,1.09955632686615
0,33,,,0.3499999940395355,,1.1007477045059204
0,34,,,0.20000000298023224,,1.1352349519729614
0,35,,,0.30000001192092896,,1.1024502515792847
0,36,,,0.30000001192092896,,1.0985593795776367
0,37,,,0.4000000059604645,,1.0958002805709839
0,38,,,0.5,,1.0824100971221924
0,39,,,0.25,,1.11038339138031
0,39,,0.36375001072883606,,1.0893317461013794,
1,40,,,0.25,,1.11782705783844
