epoch,step,test_accuracy,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,0,,,0.15000000596046448,,1.172761554318874e+25
0,1,,,0.10000000149011612,,8.160638393406552e+24
0,2,,,0.30000001192092896,,1.0053270300143886e+25
0,3,,,0.3499999940395355,,1.4273306577613318e+26
0,3,,0.22499999403953552,,4.316865081786742e+25,
1,4,,,0.10000000149011612,,2.7394746573796505e+24
1,5,,,0.20000000298023224,,2.2132740769176818e+24
1,6,,,0.4000000059604645,,2.4623728560511564e+24
1,7,,,0.20000000298023224,,1.6525947332244027e+26
1,7,,0.22499999403953552,,4.316865081786742e+25,
2,8,,,0.15000000596046448,,1.3256418281335033e+25
2,9,,,0.4000000059604645,,1.4186124959277958e+25
2,10,,,0.20000000298023224,,1.214195535581811e+24
2,11,,,0.15000000596046448,,1.440178446073789e+26
2,11,,0.22499999403953552,,4.31686462061814e+25,
3,12,,,0.25,,1.5154578561979107e+26
3,13,,,0.25,,4.2454120797858295e+24
3,14,,,0.25,,5.738863938757869e+24
3,15,,,0.15000000596046448,,1.1144534715605863e+25
3,15,,0.22499999403953552,,4.316865081786742e+25,
4,16,,,0.30000001192092896,,4.9573768494472e+24
4,17,,,0.15000000596046448,,1.616067781881728e+26
4,18,,,0.15000000596046448,,2.1525889006011958e+24
4,19,,,0.30000001192092896,,3.95784290411701e+24
4,19,,0.22499999403953552,,4.31686462061814e+25,
5,20,,,0.20000000298023224,,1.2108758710475212e+25
5,21,,,0.25,,5.019466698487463e+22
5,22,,,0.25,,1.7100375022766226e+25
5,23,,,0.20000000298023224,,1.4341526326546711e+26
5,23,,0.22499999403953552,,4.31686462061814e+25,
6,24,,,0.25,,1.5118862898440795e+26
6,25,,,0.20000000298023224,,1.2075409447148142e+24
6,26,,,0.30000001192092896,,1.09225362211293e+25
6,27,,,0.15000000596046448,,9.355876728918488e+24
6,27,,0.22499999403953552,,4.31686462061814e+25,
7,28,,,0.30000001192092896,,1.269492821476893e+25
7,29,,,0.15000000596046448,,3.093947003269677e+24
7,30,,,0.20000000298023224,,1.5512853992390305e+26
7,31,,,0.25,,1.75718380607236e+24
7,31,,0.22499999403953552,,4.316865081786742e+25,
8,32,,,0.10000000149011612,,1.3802528375029682e+25
8,33,,,0.4000000059604645,,2.542331709390531e+24
8,34,,,0.10000000149011612,,1.1341296911268086e+25
8,35,,,0.30000001192092896,,1.449884384935612e+26
8,35,,0.22499999403953552,,4.316865081786742e+25,
9,36,,,0.20000000298023224,,9.777620603450444e+24
9,37,,,0.10000000149011612,,1.2888183223214139e+25
9,38,,,0.30000001192092896,,1.419762512070211e+26
9,39,,,0.30000001192092896,,8.032537861490437e+24
9,39,,0.22499999403953552,,4.316865081786742e+25,
10,40,,,0.10000000149011612,,1.4225481548927819e+26
10,41,,,0.44999998807907104,,1.6375615130246729e+25
10,42,,,0.10000000149011612,,2.972376906986032e+24
10,43,,,0.25,,1.1071756545627556e+25
10,43,,0.22499999403953552,,4.316863698280936e+25,
11,44,0.15000000596046448,,,,
