epoch,step,test_accuracy,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,0,,,0.30000001192092896,,nan
0,1,,,0.3499999940395355,,nan
0,2,,,0.30000001192092896,,nan
0,3,,,0.3499999940395355,,nan
0,4,,,0.25,,nan
0,5,,,0.25,,nan
0,6,,,0.44999998807907104,,nan
0,7,,,0.4000000059604645,,nan
0,8,,,0.10000000149011612,,nan
0,9,,,0.4000000059604645,,nan
0,10,,,0.25,,nan
0,11,,,0.20000000298023224,,nan
0,12,,,0.3499999940395355,,nan
0,13,,,0.25,,nan
0,14,,,0.25,,nan
0,15,,,0.30000001192092896,,nan
0,16,,,0.44999998807907104,,nan
0,17,,,0.3499999940395355,,nan
0,18,,,0.25,,nan
0,19,,,0.44999998807907104,,nan
0,20,,,0.3499999940395355,,nan
0,21,,,0.3499999940395355,,nan
0,22,,,0.44999998807907104,,nan
0,23,,,0.15000000596046448,,nan
0,24,,,0.4000000059604645,,nan
0,25,,,0.3499999940395355,,nan
0,26,,,0.3499999940395355,,nan
0,27,,,0.3499999940395355,,nan
0,28,,,0.30000001192092896,,nan
0,29,,,0.4000000059604645,,nan
0,30,,,0.30000001192092896,,nan
0,31,,,0.25,,nan
0,32,,,0.25,,nan
0,33,,,0.3499999940395355,,nan
0,34,,,0.30000001192092896,,nan
0,35,,,0.20000000298023224,,nan
0,36,,,0.3499999940395355,,nan
0,37,,,0.4000000059604645,,nan
0,38,,,0.30000001192092896,,nan
0,39,,,0.30000001192092896,,nan
0,39,,0.3174999952316284,,nan,
1,40,,,0.25,,nan
1,41,,,0.30000001192092896,,nan
1,42,,,0.15000000596046448,,nan
1,43,,,0.4000000059604645,,nan
1,44,,,0.4000000059604645,,nan
1,45,,,0.20000000298023224,,nan
1,46,,,0.30000001192092896,,nan
1,47,,,0.550000011920929,,nan
1,48,,,0.20000000298023224,,nan
1,49,,,0.30000001192092896,,nan
1,50,,,0.20000000298023224,,nan
1,51,,,0.550000011920929,,nan
1,52,,,0.25,,nan
1,53,,,0.699999988079071,,nan
1,54,,,0.20000000298023224,,nan
1,55,,,0.4000000059604645,,nan
1,56,,,0.05000000074505806,,nan
1,57,,,0.15000000596046448,,nan
1,58,,,0.4000000059604645,,nan
1,59,,,0.15000000596046448,,nan
1,60,,,0.3499999940395355,,nan
1,61,,,0.44999998807907104,,nan
1,62,,,0.3499999940395355,,nan
1,63,,,0.25,,nan
1,64,,,0.44999998807907104,,nan
1,65,,,0.20000000298023224,,nan
1,66,,,0.3499999940395355,,nan
1,67,,,0.4000000059604645,,nan
1,68,,,0.25,,nan
1,69,,,0.4000000059604645,,nan
1,70,,,0.25,,nan
1,71,,,0.30000001192092896,,nan
1,72,,,0.3499999940395355,,nan
1,73,,,0.20000000298023224,,nan
1,74,,,0.44999998807907104,,nan
1,75,,,0.3499999940395355,,nan
1,76,,,0.4000000059604645,,nan
1,77,,,0.30000001192092896,,nan
1,78,,,0.25,,nan
1,79,,,0.30000001192092896,,nan
1,79,,0.3174999952316284,,nan,
2,80,,,0.3499999940395355,,nan
2,81,,,0.4000000059604645,,nan
2,82,,,0.44999998807907104,,nan
2,83,,,0.3499999940395355,,nan
2,84,,,0.30000001192092896,,nan
2,85,,,0.3499999940395355,,nan
2,86,,,0.44999998807907104,,nan
2,87,,,0.30000001192092896,,nan
2,88,,,0.15000000596046448,,nan
2,89,,,0.4000000059604645,,nan
2,90,,,0.15000000596046448,,nan
2,91,,,0.20000000298023224,,nan
2,92,,,0.4000000059604645,,nan
2,93,,,0.25,,nan
2,94,,,0.3499999940395355,,nan
2,95,,,0.3499999940395355,,nan
2,96,,,0.20000000298023224,,nan
2,97,,,0.20000000298023224,,nan
2,98,,,0.3499999940395355,,nan
2,99,,,0.20000000298023224,,nan
2,100,,,0.3499999940395355,,nan
2,101,,,0.4000000059604645,,nan
2,102,,,0.30000001192092896,,nan
2,103,,,0.30000001192092896,,nan
2,104,,,0.3499999940395355,,nan
2,105,,,0.30000001192092896,,nan
2,106,,,0.20000000298023224,,nan
2,107,,,0.30000001192092896,,nan
2,108,,,0.4000000059604645,,nan
2,109,,,0.4000000059604645,,nan
2,110,,,0.30000001192092896,,nan
2,111,,,0.30000001192092896,,nan
2,112,,,0.05000000074505806,,nan
2,113,,,0.3499999940395355,,nan
2,114,,,0.20000000298023224,,nan
2,115,,,0.3499999940395355,,nan
2,116,,,0.30000001192092896,,nan
2,117,,,0.44999998807907104,,nan
2,118,,,0.5,,nan
2,119,,,0.44999998807907104,,nan
2,119,,0.3174999952316284,,nan,
3,120,,,0.25,,nan
3,121,,,0.3499999940395355,,nan
3,122,,,0.20000000298023224,,nan
3,123,,,0.44999998807907104,,nan
3,124,,,0.30000001192092896,,nan
3,125,,,0.4000000059604645,,nan
3,126,,,0.30000001192092896,,nan
3,127,,,0.44999998807907104,,nan
3,128,,,0.4000000059604645,,nan
3,129,,,0.25,,nan
3,130,,,0.20000000298023224,,nan
3,131,,,0.25,,nan
3,132,,,0.44999998807907104,,nan
3,133,,,0.25,,nan
3,134,,,0.3499999940395355,,nan
3,135,,,0.30000001192092896,,nan
3,136,,,0.3499999940395355,,nan
3,137,,,0.15000000596046448,,nan
3,138,,,0.30000001192092896,,nan
3,139,,,0.15000000596046448,,nan
3,140,,,0.44999998807907104,,nan
3,141,,,0.30000001192092896,,nan
3,142,,,0.3499999940395355,,nan
3,143,,,0.3499999940395355,,nan
3,144,,,0.4000000059604645,,nan
3,145,,,0.20000000298023224,,nan
3,146,,,0.44999998807907104,,nan
3,147,,,0.30000001192092896,,nan
3,148,,,0.4000000059604645,,nan
3,149,,,0.10000000149011612,,nan
3,150,,,0.20000000298023224,,nan
3,151,,,0.3499999940395355,,nan
3,152,,,0.44999998807907104,,nan
3,153,,,0.20000000298023224,,nan
3,154,,,0.5,,nan
3,155,,,0.3499999940395355,,nan
3,156,,,0.3499999940395355,,nan
3,157,,,0.25,,nan
3,158,,,0.30000001192092896,,nan
3,159,,,0.3499999940395355,,nan
3,159,,0.3174999952316284,,nan,
4,160,,,0.4000000059604645,,nan
4,161,,,0.44999998807907104,,nan
4,162,,,0.44999998807907104,,nan
4,163,,,0.44999998807907104,,nan
4,164,,,0.3499999940395355,,nan
4,165,,,0.15000000596046448,,nan
4,166,,,0.25,,nan
4,167,,,0.30000001192092896,,nan
4,168,,,0.30000001192092896,,nan
4,169,,,0.25,,nan
4,170,,,0.25,,nan
4,171,,,0.550000011920929,,nan
4,172,,,0.20000000298023224,,nan
4,173,,,0.4000000059604645,,nan
4,174,,,0.4000000059604645,,nan
4,175,,,0.25,,nan
4,176,,,0.30000001192092896,,nan
4,177,,,0.44999998807907104,,nan
4,178,,,0.30000001192092896,,nan
4,179,,,0.25,,nan
4,180,,,0.3499999940395355,,nan
4,181,,,0.20000000298023224,,nan
4,182,,,0.15000000596046448,,nan
4,183,,,0.30000001192092896,,nan
4,184,,,0.4000000059604645,,nan
4,185,,,0.20000000298023224,,nan
4,186,,,0.3499999940395355,,nan
4,187,,,0.4000000059604645,,nan
4,188,,,0.25,,nan
4,189,,,0.30000001192092896,,nan
4,190,,,0.20000000298023224,,nan
4,191,,,0.4000000059604645,,nan
4,192,,,0.44999998807907104,,nan
4,193,,,0.30000001192092896,,nan
4,194,,,0.20000000298023224,,nan
4,195,,,0.30000001192092896,,nan
4,196,,,0.30000001192092896,,nan
4,197,,,0.4000000059604645,,nan
4,198,,,0.30000001192092896,,nan
4,199,,,0.25,,nan
4,199,,0.3174999952316284,,nan,
5,200,,,0.4000000059604645,,nan
5,201,,,0.4000000059604645,,nan
5,202,,,0.25,,nan
5,203,,,0.3499999940395355,,nan
5,204,,,0.4000000059604645,,nan
5,205,,,0.30000001192092896,,nan
5,206,,,0.3499999940395355,,nan
5,207,,,0.15000000596046448,,nan
5,208,,,0.30000001192092896,,nan
5,209,,,0.30000001192092896,,nan
5,210,,,0.4000000059604645,,nan
5,211,,,0.30000001192092896,,nan
5,212,,,0.4000000059604645,,nan
5,213,,,0.30000001192092896,,nan
5,214,,,0.44999998807907104,,nan
5,215,,,0.25,,nan
5,216,,,0.20000000298023224,,nan
5,217,,,0.3499999940395355,,nan
5,218,,,0.15000000596046448,,nan
5,219,,,0.30000001192092896,,nan
5,220,,,0.30000001192092896,,nan
5,221,,,0.30000001192092896,,nan
5,222,,,0.25,,nan
5,223,,,0.30000001192092896,,nan
5,224,,,0.4000000059604645,,nan
5,225,,,0.3499999940395355,,nan
5,226,,,0.44999998807907104,,nan
5,227,,,0.30000001192092896,,nan
5,228,,,0.20000000298023224,,nan
5,229,,,0.30000001192092896,,nan
5,230,,,0.4000000059604645,,nan
5,231,,,0.3499999940395355,,nan
5,232,,,0.25,,nan
5,233,,,0.4000000059604645,,nan
5,234,,,0.3499999940395355,,nan
5,235,,,0.550000011920929,,nan
5,236,,,0.25,,nan
5,237,,,0.30000001192092896,,nan
5,238,,,0.15000000596046448,,nan
5,239,,,0.25,,nan
5,239,,0.3174999952316284,,nan,
6,240,,,0.44999998807907104,,nan
6,241,,,0.3499999940395355,,nan
6,242,,,0.3499999940395355,,nan
6,243,,,0.5,,nan
6,244,,,0.25,,nan
6,245,,,0.3499999940395355,,nan
6,246,,,0.30000001192092896,,nan
6,247,,,0.20000000298023224,,nan
6,248,,,0.30000001192092896,,nan
6,249,,,0.30000001192092896,,nan
6,250,,,0.25,,nan
